नमस्ते! जीरे की फसल में खरपतवार नियंत्रण एक महत्वपूर्ण कार्य है, खासकर हरियाणा जैसे क्षेत्रों में जहाँ विभिन्न प्रकार के खरपतवार फसल को काफी नुकसान पहुँचा सकते हैं। एक वरिष्ठ कृषि वैज्ञानिक के रूप में, मैं आपको वैज्ञानिक रूप से सत्यापित और CIBRC (Central Insecticides Board and Registration Committee) द्वारा अनुमोदित रसायनों का उपयोग करते हुए एकीकृत खरपतवार प्रबंधन (Integrated Weed Management - IWM) की सलाह देता हूँ।

एकीकृत खरपतवार प्रबंधन में सांस्कृतिक, यांत्रिक और रासायनिक विधियों का संयोजन शामिल है।

**I. सांस्कृतिक एवं यांत्रिक विधियाँ:**

1.  **स्वच्छ बीज का उपयोग:** बुवाई के लिए हमेशा प्रमाणित और खरपतवार मुक्त जीरे के बीज का उपयोग करें।

*   **संकरी पत्ती वाले खरपतवार (जैसे फालारिस माइनर, अन्य घास) के लिए:**
    *   **क्विजालोफॉप-इथाइल** 5% EC: 40 - 50 ग्राम सक्रिय तत्व (a.i.) प्रति एकड़ (लगभग 800 - 1000 मिलीलीटर उत्पाद) को 200-300 लीटर पानी में मिलाकर छिड़काव करें।
    *   **फेनोक्साप्रॉप-पी-इथाइल** 9% EC: 50 - 60 ग्राम सक्रिय तत्व (a.i.) प्रति एकड़ (लगभग 550 - 660 मिलीलीटर उत्पाद) को 200-300 लीटर पानी में मिलाकर छिड़काव करें।

*   **चौड़ी पत्ती वाले खरपतवार (जैसे बथुआ, कांग्रेस घास) के लिए:**
    *   **ऑक्सीफ्लोरफेन** 23.5% EC: 100 - 150 ग्राम सक्रिय तत्व (a.i.) प्रति एकड़ (लगभग 425 - 640 मिलीलीटर उत्पाद) को 200-300 लीटर पानी में मिलाकर छिड़काव करें। इसे फसल की शुरुआती अवस्था में सावधानी से छिड़कें, सीधे जीरे के पत्तों पर पड़ने से बचें।

*   **अमरबेल (Cuscuta spp.) के लिए:**
    *   अमरबेल के लिए सबसे प्रभावी तरीका **हाथ से निराई** है। जैसे ही अमरबेल के धागे दिखाई दें, उन्हें तुरंत हटा दें और खेत से बाहर ले जाकर नष्ट कर दें।
    *   रासायनिक रूप से, बुवाई के तुरंत बाद **पेंडिमेथालिन** या **ऑक्सीफ्लोरफेन** का उपयोग इसके अंकुरण को कुछ हद तक रोक सकता है। फसल उगने के बाद अमरबेल के लिए कोई प्रभावी रासायनिक नियंत्रण उपलब्ध नहीं है जो जीरे को नुकसान न पहुँचाए।

*   **ओरोबैंकी (Orobanche spp.) के लिए:**
    *   ओरोबैंकी जीरे की फसल का एक गंभीर परजीवी खरपतवार है। इसके नियंत्रण के लिए **हाथ से निराई** बहुत महत्वपूर्ण है। जैसे ही ओरोबैंकी के अंकुर जमीन से बाहर निकलें, उन्हें तुरंत उखाड़कर नष्ट कर दें।
    *   रासायनिक नियंत्रण के लिए:
        *   **इमाजेथापायर** 10% SL: 30 - 40 ग्राम सक्रिय तत्व (a.i.) प्रति एकड़ (लगभग 300 - 400 मिलीलीटर उत्पाद) को 200-300 लीटर पानी में मिलाकर छिड़काव करें।
        *   **महत्वपूर्ण नोट:**
            *   इसका छिड़काव बुवाई के 30-40 दिन बाद करें, जब ओरोबैंकी के बीज अंकुरित हो रहे हों लेकिन अभी तक जीरे की जड़ों से पूरी तरह जुड़े न हों, या जब ओरोबैंकी के शुरुआती अंकुर दिखाई दें।
            *   **खुराक की सटीकता अत्यंत महत्वपूर्ण है।** अधिक खुराक से जीरे की फसल को नुकसान हो सकता है।
            *   छिड़काव समान रूप से करें। यह खरपतवारनाशी कुछ चौड़ी और संकरी पत्ती वाले खरपतवारों पर भी प्रभावी है।

**सामान्य सावधानियाँ:**

*   हमेशा फ्लैट फैन नोजल का उपयोग करें ताकि खरपतवारनाशी का समान छिड़काव हो।
*   छिड़काव करते समय हवा की गति कम होनी चाहिए ताकि बहाव (drift) से बचा जा सके।
*   खरपतवारनाशी का छिड़काव करते समय सुरक्षा उपकरण (दस्ताने, मास्क) पहनें।
*   छिड़काव के बाद स्प्रेयर को अच्छी तरह से साफ करें।
*   खरपतवारनाशी के उपयोग से पहले हमेशा उत्पाद लेबल पर दिए गए निर्देशों को ध्यान से पढ़ें।

इन विधियों का पालन करके आप जीरे की फसल में खरपतवारों का प्रभावी ढंग से नियंत्रण कर सकते हैं और अच्छी उपज प्राप्त कर सकते हैं।
