As a Senior Agronomist at Haryana Agricultural University (HAU, Hisar), I advise an integrated approach combining cultural practices and judicious use of CIBRC-approved fungicides for effective management of various rot types in strawberry. All the rot types you mentioned are known to affect strawberry.

**General Principles for Rot Management in Strawberry:**

1.  **Site Selection and Soil Preparation:**
    *   **For Anthracnose (*Colletotrichum acutatum*) and Black Rot (can be *Alternaria* or *Colletotrichum*):**
        *   **Azoxystrobin** 23% SC: Spray at 0.5-1 ml/L water.
        *   **Pyraclostrobin + Metiram** 55% WG: Spray at 1.5-2 g/L water.
        *   **Thiophanate-methyl** 70% WP: Spray at 1-1.5 g/L water.
        *   **Mancozeb** 75% WP: Spray at 2-2.5 g/L water (broad-spectrum protective).
    *   **For Leather Rot (*Phytophthora cactorum*):**
        *   **Fosetyl-aluminium** 80% WP: Spray at 2.5-3 g/L water.
        *   **Metalaxyl-M + Mancozeb** 31.8% WP: Spray at 2-2.5 g/L water.

**C. Seed Rot and Seedling Rot (Damping-off):**
These affect seeds before germination or young seedlings, causing them to rot or collapse.

*   **Cultural Practices:**
    *   Use sterilized potting mix or growing media for seed germination.
    *   Ensure proper sowing depth and spacing.
    *   Maintain optimal moisture levels; avoid overwatering.
    *   Provide good ventilation to seedlings.

*   **Chemical Control (Seed Treatment/Drench):**
    *   **Seed Treatment:**
        *   **Thiram** 75% WS: Treat seeds at 2-3 g/kg seed before sowing.
        *   **Carbendazim** 50% WP: Treat seeds at 1-2 g/kg seed.
    *   **Drenching (for seedlings):**
        *   **Propamocarb hydrochloride** 72.2% SL: Drench the seedling trays/beds at 2-2.5 ml/L water.
        *   **Metalaxyl-M + Mancozeb** 31.8% WP: Drench at 2 g/L water.

**Important Considerations:**

*   **Fungicide Rotation:** Always rotate fungicides with different modes of action to prevent the development of resistance in pathogens.
*   **Pre-Harvest Interval (PHI):** Strictly adhere to the Pre-Harvest Interval (PHI) mentioned on the fungicide label to ensure food safety.
*   **Label Instructions:** Always read and follow the specific instructions, dosage, and safety precautions provided on the product label.
*   **Integrated Disease Management (IDM):** The most sustainable and effective control relies on an IDM approach, combining all suitable methods.

By implementing these scientifically verified practices, you can significantly reduce the incidence and severity of rot diseases in your strawberry crop in Haryana.
